CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C016,N1CC(C2CC(N3CCNN3)CCC2O)CC(C2CCC(C3CCCCC3)CC2C)C1,,,,,
C017,C1(C)N(C(=O)C)NNN1,,,,,
C018,C1CN(c2ncccc2)CN1C1NCCNC1,,,,,
C019,C1(NC2CNNC(c3nccnn3)C2)NNNN1NC(=N)N,,,,,
C021,N1(O)C(C2C(O)(C3C(O)CC(c4c[nH]cn4)CC3)CCCC2)CNCN1,,,,,
C022,C1C(C2CCC3C(C2)CCCC3)NC(C2CCCCC2O)(c2c[nH]nc2)CN1C=CC,,,,,
C023,N1CN(C2NCCNC2)N(CCCNN)CN1,,,,,
C025,C1C(C2(C3CCCC4C3CCCC4)CC(O)CCC2)N(c2c[nH]cn2)CCN1,,,,,
C026,C(C=C)(C1C(c2ccncc2)NNN1)C,,,,,
C027,N1C(O)NCCC1,,,,,
C028,CC(C)C1N(C(=O)[N+](=O)[O-])NCNN1,,,,,
C029,C(C(=C)N=[N+]=[N-])C(=O)C,,,,,
C030,C1CNC(NC(=N)Nc2nccnn2)N1,,,,,
C031,N1(n2ccnn2)CNNCN1,,,,,
C032,C1(C2N(C#C)C(C3CNN(c4cnc[nH]4)N3)NN2)NNNN1,,,,,
C033,C1NC(C(=O)[N+](=O)[O-])(C#N)NN1,,,,,
C034,C1(C)CCC2CCCCC2(c2cnc[nH]2)C1,,,,,
C035,N1(O)CNC(N=[N+]=[N-])NN1,,,,,
C036,C(C#CC=O)C1NC(C2NNNN2c2nnccc2)CN1,,,,,
C037,N1CNCN(c2ncncn2)N1,,,,,
C038,N1C(C2CNNCC2)CNC(CCC)N1,,,,,
C039,CC(=C)NC(=NC#N)N,,,,,
C040,CC#CC1CCC2C(C1)CCCC2O[N+](=O)[O-],,,,,
C041,N1CNC(c2cnn[nH]2)NC1,,,,,
C042,C(#C)N=NC1C(C2CCNN2n2cnnn2)NCN1,,,,,
C043,N1C(C=N)(OO)N(N2CCNN2)NC(c2c(O)cccc2)N1,,,,,
C044,C1(C=N)CNC(C2CCC(C)CC2)CN1,,,,,
C045,C1(C=N)C(c2ccccc2C)NCN1,,,,,
C046,C(#C)C1(C2NN(CC=C)NCN2)CCC(C#N)C2C1CCCC2,,,,,
C047,C1CCC(C2CC(O)CCC2)CC1Oc1cc[nH]n1,,,,,
C048,N1NCCC(C2N(c3ncccc3)NCNC2)C1,,,,,
C049,CC=Cn1cnnn1,,,,,
C050,C1N(C#CC)NNN1C1CCCCC1,,,,,
C051,C(=C)(C1(C2CCCC(C)C2)CNCN1)c1cnccc1,,,,,
C052,C1CN(OC(=O)N)C(c2nnnnc2)CN1C1C(CCC)NCN1,,,,,
C053,N1(C(=O)O)CNC(C2N(CCC)NCCC2)NN1,,,,,
C054,CC(C)c1cc[nH]n1,,,,,
C055,C1NC(C2CCC3C(C2)CCC(C(=O)N)C3)NN1,,,,,
C056,C1C(C2CN(c3nnn[nH]3)NCC2)NCN1,,,,,
C057,N1CNCC(C2NNN(C=C)NC2)C1,,,,,
C058,N1NNCC(NC(=N)N)C1N1CCCN1,,,,,
C059,C1CC(N2CCNN2)C(C2NCNCN2)(c2cnnnc2)CC1,,,,,
C060,N1(N=O)NCCC(CC)C1,,,,,
C061,C1CN(C2CCC3C(C2)CCCC3)CN1c1c[nH]nn1,,,,,
C062,N1NC(C2(C(=O)O)NCCNC2)CCC1,,,,,
C063,N1NCCC(C(=O)O)C1,,,,,
C064,N1NN(C#CC)C(CC)CC1,,,,,
C065,C1CN(n2ccnc2)NN1,,,,,
C066,N1C(N=NCC#C)(c2nnccc2)C(OO)CCC1,,,,,
C067,C1NNN(NC(=N)N)N1,,,,,
